标题,地址,小区,户型,面积,楼层,月租,出租类型,朝向,有无电梯,地铁
出租 水碓子两居室 可员工居住 呼家楼地铁 团结湖公园附近,朝阳-团结湖 朝阳北路,水碓子小区,2室1厅,47.3平米,高层(共6层),6000,整租,朝南,无,6/10/14号线
橡树湾主力两居室，有车位，看房方便，好楼层,"海淀-清河 毛纺路,近朱房路",橡树湾(四期),2室2厅,99平米,高层(共29层),13000,整租,东南,有,13号线
9.14号线七里庄 望园东里精装大次卧 全齐家电随时看房拎包,丰台-七里庄 丰台北路125号,望园东里,3室1厅,12平米,中层(共25层),2000,合租,朝西,有,9/10/14号线
物业直租！停车免费！新上富力运河十号南北三居！家电全齐拎包住,通州-新华大街 江米店街2号,富力运河十号小区,3室2厅,130平米,中层(共30层),9500,整租,西北,有,6号线
必看好房 精装四居 国悦府 稳定长租 可接待 有钥匙 随时看,海淀-公主坟 复兴路51号,国悦府,4室2厅,373平米,高层(共20层),75000,整租,南北,有,1/10号线
推荐 华业东方玫瑰精装婚房二居（必看好房）瘦次出租 入住,"通州-梨园 梨园南街,近临河里路",华业东方玫瑰,2室1厅,89.5平米,低层(共27层),5500,整租,朝南,有,八通线
丽泽商务区丽新嘉园金泰城丽湾蓝调国际南向一居看房方便14号线,丰台-菜户营 菜户营西街,丽新嘉园东区,1室1厅,65平米,中层(共28层),5800,整租,朝南,有,14号线
御园A区全齐两居室出租 南北通透随时入住有钥匙 小区免费停车,大兴-庞各庄 幸福路8号,御园A区,2室1厅,84.8平米,低层(共15层),2500,整租,南北,有,无
10号线 前泥洼三区 大面积三居 可公司租房 宿舍 合租,丰台-丰益桥 东货场路,前泥洼三区,3室1厅,120平米,低层(共11层),7000,整租,朝南,有,10号线
西城区德胜门，什刹海，一进四合院带跨院。双车位有车库。拎包用,西城-什刹海 弘善胡同,弘善胡同小区,15室4厅,501平米,共1层,230000,整租,南北,无,2/6/8号线/4号线大兴线
新出！非常不错，家电家具齐全，高楼层视野不错两居室，陶然北岸,西城-陶然亭 虎坊路19号,陶然北岸韵竹园,2室1厅,82.7平米,中层(共18层),12500,整租,西南,有,7号线/8号线南段/4号线大兴线
有钥匙 清芷园小区 南北三居高层 随时看房 双卫 价格可谈,西城-陶然亭 育新街47号,清芷园(一期),3室2厅,157.7平米,高层(共14层),19500,整租,南北,有,14号线/4号线大兴线
随时可看 南北通透 2室2厅  天秀花园 安和园,海淀-马连洼 天秀路,天秀花园安和园,2室2厅,85.6平米,高层(共6层),7300,整租,南北,无,16号线/4号线大兴线
丰益桥 丰管路 西国贸 泥洼地铁站50米 前泥洼一居室,丰台-丰益桥 丰管路,前泥洼小区(一区),1室1厅,43.5平米,中层(共6层),4400,整租,南北,无,9/10/14号线/房山线
双桥嘉园，精装两居室，电梯楼，看房有钥匙，随时入住,朝阳-双桥 康中街6号,双桥嘉园,2室1厅,70平米,低层(共23层),4200,整租,南北,有,无
中关村黄庄合租单间主卧室中钢集团天使字节大恒字节,海淀-苏州街 海淀南路1-17号,海淀南路小区,2室1厅,20平米,低层(共16层),4000,合租,朝南,有,10号线/西郊线/4号线大兴线
1号线 创业大厦附近 随时看房 1室1厅1卫 电梯房,石景山-金顶街 悦兴街8号,丁香苑,1室1厅,45平米,中层(共25层),3800,整租,朝南,有,11号线
东城 朝阳门地铁站 精装修 可以配家具 看房随时,东城-朝阳门 东水井胡同,北京INN,2室2厅,95平米,高层(共15层),12000,整租,朝东,有,1/2/5/6号线
海淀清河 业主直签 电梯房 永泰庄 林萃桥 万象汇 清缘东里,海淀-清河 龙岗路48号,清缘东里,1室1厅,36.3平米,高层(共6层),4600,整租,朝南,有,8号线
业主直签京旺家园精装一室一厅 望京酒仙桥798草场地58总部,朝阳-朝阳周边 金港南路,京旺家园六区,1室1厅,62平米,高层(共15层),4300,整租,南北,有,无
次渠京东万科高品质三居室配套齐全紧邻地铁超市,通州-次渠 东石东四路2号院,首开万科城市之光(商住楼),3室1厅,72平米,低层(共13层),5500,整租,朝南,有,17号线/亦庄线
地铁100米 精装修 边户 采光好大一居家具家电齐全 随时看,房山-阎村 紫码路,天恒乐活城(北区),1室1厅,73平米,高层(共13层),3800,整租,西北,有,燕房线
6号线青年路 正南向 3室2卫 大悦城 珠江罗马嘉园(东区),朝阳-朝青板块 朝阳北路107号,珠江罗马嘉园(东区),3室2厅,120平米,低层(共21层),11500,整租,东南,有,6号线
十号线西局 集中供暖 新小区西局玉园精装南北两居随时住,丰台-丽泽桥 西局南街138号,西局玉园(南区),2室1厅,79平米,低层(共25层),6000,整租,朝南,有,9/10/14号线
我爱我家相寓 六里桥莲怡园一区低楼层3居室次卧2,丰台-六里桥 莲怡园北路,莲怡园二区,3室1厅,10平米,低层(共24层),1700,合租,朝北,无,9/10号线
S1线小园站 精装两居 季付即可 随时看房,门头沟-永定 紫金路,云泽嘉苑,2室1厅,66平米,中层(共28层),3500,整租,东南,有,S1线
丽泽商务区近地铁口 12000月品质小区电梯房,丰台-菜户营 丽泽路1号,金泰城丽湾,3室2厅,120平米,低层(共25层),12000,整租,南北,有,14号线
星光视界中心 天恒精装 两居室 随时看房 可配全齐,大兴-西红门 盛坊路1号,天恒世界集,2室1厅,85平米,高层(共13层),5000,整租,朝西,有,无
五棵松华熙 紫金长安精装四居室干净整洁餐客厅分离 户型方正,海淀-五棵松 西翠路17号,紫金长安,4室2厅,198平米,中层(共18层),27000,整租,南北,有,1号线
实图拍摄 首回出租 肖家河东区精装大两居 和房东签约 可长租,海淀-肖家河 圆明园西路34号,正黄旗东区,2室2厅,87平米,低层(共10层),8500,整租,南北,有,16号线
望京 姚家园 达美中心 （首开常青藤）精装三居室 大窗户,朝阳-东坝 东坝中街12号,首开常青藤(D区),3室1厅,93平米,中层(共6层),8800,整租,南北,有,无
东城区 东四临街四合院出租 新装修 临街 停车方便,东城-景山 五四大街,五四大街小区,8室2厅,180平米,共1层,60000,整租,南北,无,1/5/6/8号线
双地铁八通线环球影城绿心公园朗芳园精装两居新鲜出炉采光好,通州-土桥 梨园南街,朗芳园,2室1厅,87平米,高层(共28层),3700,整租,朝南,无,无
亚林西小两居5800，随时看房随时入住，家具家电齐全,丰台-右安门 西铁营中路9号,亚林西居住区,2室1厅,58平米,中层(共28层),5800,整租,朝南,有,14号线
e世界房补 中航房补 长春桥 万柳 世纪城 苏州桥 小南庄,海淀-万柳 万柳中路,蜂鸟家园,1室1厅,48.3平米,低层(共16层),6200,整租,朝南,有,10/16号线/西郊线
全女生 三户 超大卧室 家电齐全 ！,顺义-顺义城区 西环路,石景苑,3室1厅,15平米,高层(共6层),1200,合租,朝北,无,15号线
C21保真 东坝福润四季精装两居出租 明厨明卫户型 随时看房,朝阳-东坝 管庄路,北京城建福润四季B区,2室1厅,61平米,高层(共21层),5000,整租,南北,有,无
国展地铁站附近莲竹花园新出主卧一间随时看房随时入住,顺义-新国展 天纬四街12号,莲竹花园,3室1厅,18平米,中层(共6层),2300,合租,朝南,无,15号线
印象城低价急租！！南向1居小复式精装修停车生活方便签约入住,海淀-公主坟 翠微路12号,新华联国际公寓,1室1厅,38.8平米,低层(共22层),9500,整租,朝南,有,1/10号线
首开璞瑅 东西两居 环境优美 素质住户 明厨明卫 采光好,丰台-方庄 方庄路,紫芳园(四区),2室1厅,90平米,中层(共26层),11500,整租,东西,有,5/14号线
10号线 泥洼站 前泥洼房婚房一居  真实有效 随时入住,丰台-丰益桥 东货场路,前泥洼三区,1室1厅,60平米,高层(共7层),4300,整租,朝南,有,10号线
新上！！！南北通透大三居  不临街  随时看房  有车位,朝阳-华威桥 弘燕路,山水文园中园,3室2厅,178平米,中层(共8层),25000,整租,南北,有,10/14/17号线
实图实价 中关村 苏州街地铁口 精装双南2居 民宿装修价可谈,海淀-万泉河 苏州街,王公坟小区,2室1厅,54平米,低层(共6层),7999,整租,东南,无,10/16号线/西郊线/4号线大兴线
带阳台！入住橡树湾高性价比开间！有密码，随时看！租金能谈！,海淀-清河 学府树北街,橡树湾(一期),1室1厅,43平米,中层(共26层),6200,整租,朝南,有,13号线
橡林郡精装三居室，业主重新装修的，随时可以入住，,海淀-清河 毛纺路,橡林郡,3室2厅,118.6平米,低层(共18层),15000,整租,南北,有,无
价格还能谈 只为租出去 近地铁 3室2厅  远洋山水(北区),石景山-鲁谷 鲁谷路,远洋山水(北区),3室2厅,136.2平米,中层(共26层),11000,整租,东南,有,1号线
实图 实价七里庄 六里桥 西局 丽泽景园 西局玉园精装一居室,丰台-丽泽桥 西局南街138号,西局玉园(南区),1室1厅,55平米,中层(共9层),5700,整租,朝南,有,9/10/14号线
超大厅卧带阳台 喜欢大空间的来 不愁晾衣服,丰台-玉泉营 丰桥路7号,三环新城7号院,3室2厅,24.6平米,中层(共29层),2500,合租,朝北,有,10号线
四号线 西红门地铁 瑞海家园一区 出门就地铁,大兴-西红门 宏旭路,瑞海家园(一区),3室1厅,30平米,高层(共6层),2350,合租,朝南,无,4号线大兴线
六里桥家园 月付无佣 独厨独卫 交通便利 随时入住,丰台-六里桥 广安路280号,六里桥家园,2室1厅,13平米,高层(共29层),2800,合租,朝南,有,9/10/14号线
新上！！！南北通透大三居  不临街  随时看房  有车位,朝阳-华威桥 弘燕路,山水文园中园,3室2厅,178平米,中层(共8层),25000,整租,南北,有,10/14/17号线
五棵松华熙 紫金长安精装四居室干净整洁餐客厅分离 户型方正,海淀-五棵松 西翠路17号,紫金长安,4室2厅,198平米,中层(共18层),27000,整租,南北,有,1号线
超低价三居室 十里堡京棉新城高楼层东南向采光无遮挡,朝阳-十里堡 朝阳路,京棉新城(一厂),3室1厅,83平米,高层(共28层),6700,整租,东南,有,6号线
亚林西小两居5800，随时看房随时入住，家具家电齐全,丰台-右安门 西铁营中路9号,亚林西居住区,2室1厅,58平米,中层(共28层),5800,整租,朝南,有,14号线
三里屯全新楼盘 首此出租 全新家具家电  管家式服务,朝阳-工体 工人体育场北路甲2号,盈科中心景苑(公寓住宅),1室1厅,80平米,中层(共30层),19000,整租,朝东,有,6/10号线
牡丹园 健德门 祁家豁子 中鑫嘉园 华盛家园 龙翔路精装次卧,海淀-牡丹园 龙翔路,龙翔路小区(西区),3室1厅,15平米,中层(共20层),2700,合租,朝西,有,10/19号线
可短签 朱辛庄 精装朝南主卧 直达西二旗 随时看房入住,昌平-沙河 朱辛庄东路,朱辛庄北区,3室1厅,23平米,中层(共6层),2100,合租,朝南,无,8号线/昌平线
立水桥 北京北 3室1厅1卫 精装修 电梯房,昌平-立水桥 中滩村大街8号,北京北,3室1厅,20平米,中层(共23层),2300,合租,朝南,有,5/13号线
首开璞瑅 东西两居 环境优美 素质住户 明厨明卫 采光好,丰台-方庄 方庄路,紫芳园(四区),2室1厅,90平米,中层(共26层),11500,整租,东西,有,5/14号线
西北旺 永旺家园 五区 开间 随时入住紧邻地铁16号线永丰南,海淀-西北旺 永丰路,永旺家园(五区),1室0厅,45平米,高层(共10层),4800,整租,朝西,有,16号线
三环，丽泽，21年新社区，LDK一体边厅观公园，泰禾西府大院,丰台-六里桥 西局后街10号,泰禾西府大院,4室2厅,201平米,中层(共18层),65000,整租,南北,有,9/10/14号线
富锦嘉园一区 2室2厅1卫 C21,丰台-科技园区 丰葆路,富锦嘉园(一区),2室2厅,92平米,共5层,6300,整租,南北,有,9号线/房山线
北京南站 幸福路6号院 主卧阳台 1900月 免中介费 月付,丰台-右安门 幸福路6号,幸福路6号院,3室1厅,20平米,中层(共6层),1900,合租,朝南,无,14号线/4号线大兴线
建安里小区 电梯房2室2厅2卫 140平4800 随时入住,昌平-昌平县城 府学路,建安里小区,2室2厅,140平米,高层(共11层),4800,整租,西南,有,昌平线
年前特价出租 高层精装投影开间 视野很好 下楼地铁 全套家具,通州-北关 新华北路,世界侨商中心,1室0厅,43平米,高层(共27层),3800,整租,朝北,有,6号线
常营 东坝（东湾家园）精装一居室 集中供暖 小区人车分流,朝阳-东坝 东坝中街,和悦园,1室1厅,65平米,低层(共16层),4900,整租,朝南,有,无
新上！朝阳公园西门亮马桥中信证券枣营北里两居枣营麦子店随时看,朝阳-朝阳公园 东三环农展馆路,枣营北里,2室1厅,66平米,低层(共18层),7600,整租,东北,有,10/14号线
1号线 创业大厦附近 随时看房 1室1厅1卫 电梯房,石景山-金顶街 悦兴街8号,丁香苑,1室1厅,45平米,中层(共25层),3800,整租,朝南,有,11号线
芍药居地铁1013号线 朝南主卧带阳台 舒适大方 随时看房,朝阳-芍药居 北四环东路,芍药居北里小区,3室1厅,15平米,低层(共15层),2900,合租,朝南,有,5/10/13号线
丰体时代 2室1厅1卫5800元月 南北通透 电梯房,丰台-丰台体育馆 丰体南路3号,丰体时代,2室1厅,82平米,高层(共28层),5800,整租,南北,有,14号线
实图实价地铁1号线古城站 中海大厦 汽车园 现代嘉园年底甩租,石景山-古城 古城西路68号,古城现代嘉园(西区),3室1厅,15平米,中层(共20层),1680,合租,朝南,有,1/11号线
C21保真 东坝福润四季精装两居出租 明厨明卫户型 随时看房,朝阳-东坝 管庄路,北京城建福润四季B区,2室1厅,75平米,高层(共21层),5200,整租,南北,有,无
中关村软件园1期13号线西二旗滴滴网易附近亿城西山公馆,海淀-上地 东北旺西路8号,亿城西山公馆,1室1厅,41.7平米,中层(共7层),7000,整租,朝东,有,13号线/昌平线
合生世界花园 复式一居室 家具家电齐全 随时入住,通州-马驹桥 景盛北一街甲12号,合生世界花园,1室1厅,58平米,低层(共12层),3300,整租,朝北,有,无
好房推荐 精美一居室 随时看房 楼下就是公交超市 拎包住,门头沟-城子街道 七棵树东大街,九龙东苑3号地,1室1厅,50平米,高层(共28层),2600,整租,朝南,有,无
望京酒仙桥来广营康营家园精装修正规主卧带卫生间随时看房,朝阳-孙河 康营家园中街,康营家园(25期),3室1厅,15平米,高层(共11层),2700,合租,朝南,有,15号线
十里堡 盒马生鲜 1号线四惠地铁 3室2厅  东恒时代三期,朝阳-四惠 十里堡甲3号,东恒时代三期,3室2厅,134平米,中层(共27层),13000,整租,东南,有,1号线/八通线
港商开发 人车分流 紫气东来 楼层高 视野好 无遮挡 着急租,朝阳-十里堡 十里堡南里中路,都会华庭,2室2厅,93平米,高层(共25层),8900,整租,朝东,有,1/6号线/八通线
南北通透 3室1厅  未来公元,昌平-北七家 岭上路,未来公元(北区),3室1厅,104.4平米,中层(共25层),7500,整租,南北,有,无
带阳台！入住橡树湾高性价比开间！有密码，随时看！租金能谈！,海淀-清河 学府树北街,橡树湾(一期),1室1厅,43平米,中层(共26层),6200,整租,朝南,有,13号线
东南金角，明厨明卫，双卧带飘窗，视野采光超棒，价格可谈,石景山-八宝山 莲石东路,远洋山水(南区),2室1厅,104.6平米,高层(共24层),7000,整租,东南,有,1号线
丽泽天地 西局地铁站 丽泽景园 精装一居 全南向 随时看房住,丰台-丽泽桥 益泽路,丽泽景园,1室1厅,78.4平米,中层(共26层),5600,整租,南北,有,9/10/14号线
东城区 东四临街四合院出租 新装修 临街 停车方便,东城-景山 五四大街,五四大街小区,8室2厅,180平米,共1层,60000,整租,南北,无,1/5/6/8号线
七里庄 西局站 307 精装两居室 集中供暖 交通方便 齐全,丰台-七里庄 东大街6号,东大街6号院,2室1厅,75平米,高层(共19层),6300,整租,朝南,有,9/10/14号线
义和庄地铁口 可月付 万科精装修一居 包物业取暖 免费停车,大兴-兴华大街 新源大街27号,万科天地(一期),1室1厅,80平米,高层(共6层),3400,整租,朝南,有,4号线大兴线
三元桥 左家庄 左家庄南两居 全女生 次卧 可月付 随时入住,朝阳-国展 左家庄西街,左家庄南里,2室1厅,14平米,高层(共6层),2900,合租,朝北,无,10/13号线/首都机场线
丽泽商务区近地铁口 12000月品质小区电梯房,丰台-菜户营 丽泽路1号,金泰城丽湾,3室2厅,120平米,低层(共25层),12000,整租,南北,有,14号线
西二环 中海馥园 高楼层 大落地窗采光好 精装家具家电齐全,海淀-增光路 增光路37号,中海馥园,2室1厅,94.3平米,中层(共18层),13800,整租,朝东,有,6/9号线
精装修，家具家电齐全，业主自住房，大庭院,昌平-北七家 王府街10号,王府花园,5室2厅,300平米,共2层,16000,整租,南北,有,无
我爱我家相寓 六里桥莲怡园一区低楼层3居室次卧2,丰台-六里桥 莲怡园北路,莲怡园二区,3室1厅,10平米,低层(共24层),1700,合租,朝北,无,9/10号线
我爱我家相寓 广安门京铁和园高楼层1居室,西城-广安门外 广安门车站西街2号院,京铁和园,1室1厅,37平米,高层(共28层),4500,整租,朝东,无,7/14号线
潘家园十号线地铁 华威北里主卧室带阳台,朝阳-劲松 劲松南路,华威北里,3室1厅,20平米,中层(共6层),2300,合租,朝南,无,10号线
团结湖 金台路 朝阳公园 三里屯 国贸 红庙 地铁口精装一居,朝阳-团结湖 东三环北路,团结湖北口,1室1厅,36平米,中层(共16层),5300,整租,朝南,有,6/10号线
新出！价低低！楼层高视野好，随时看房一居室，中信沁园,西城-陶然亭 菜市口大街甲2号,中信沁园(中信城二期),1室1厅,65.8平米,高层(共23层),10000,整租,朝西,有,2/7/19号线/4号线大兴线
东坝 利锦府 精装小复式双卫 酒店式公寓 落地窗,朝阳-东坝 东坝中街,利锦府,1室1厅,53平米,中层(共6层),6200,整租,朝东,有,无
果岭里此房我是业主委托人，跟我租房有优惠！诚意出租 欢迎看房,朝阳-望京 广泽路6号,CLASS果岭里,4室2厅,286平米,高层(共6层),44000,整租,南北,有,14/15号线
六号 线通州北关新光大 精装开间 燃气 地暖 新风 随时入住,通州-北关 滨惠北一街3号,新光大中心,1室0厅,47平米,中层(共41层),4400,整租,西北,有,6号线
永旺家园(二区) 3室1厅1卫 配套齐全 南北通透 13平,海淀-西北旺 永丰路,永旺家园(二区),3室1厅,10平米,中层(共12层),1800,合租,朝北,有,16号线
南北通透 家具齐全 拎包住 价格可聊 园林社区 东三环国贸旁,朝阳-双井 广渠路36号,首城国际(公寓住宅),3室2厅,88.5平米,中层(共28层),10500,整租,南北,有,7/10/14号线
上地马连洼六郎庄新村柳浪家园，中关村软件园，树村，农大，新浪,海淀-马连洼 树村路,柳浪家园北里,3室1厅,13平米,中层(共9层),2300,合租,朝北,有,无
鲁谷远洋山水北区正规东向一居室家具家电齐全随时入住万达商圈,石景山-鲁谷 鲁谷路,远洋山水(北区),1室1厅,59.5平米,低层(共26层),5100,整租,朝东,有,1号线
西城阜成门 北露园 东向一居室 有钥匙 随时看房 随时入住,西城-百万庄 扣钟北路,北露园,1室1厅,40.5平米,中层(共6层),5700,整租,朝东,无,2/6/9/16号线/4号线大兴线
紫竹桥 玫瑰御园南北精装三居室餐客厅分离 阳台飘窗采光好舒适,海淀-紫竹桥 蓝靛厂南路,玫瑰御园,3室2厅,177.6平米,低层(共8层),21000,整租,南北,有,6/10号线
展览馆社区 车公庄西 动物园南北通透一居 随时看建筑大学旁,西城-车公庄 西直门外南路105号,榆树馆西里,1室1厅,44平米,高层(共6层),5500,整租,南北,无,2/6/13号线/4号线大兴线
清河学而思 快手 小米 橡林郡南北向两居，精装修，手次出租,海淀-清河 毛纺路,橡林郡,2室2厅,94平米,低层(共6层),10000,整租,南北,有,无
S1地铁石厂 2居 干净整洁的家具齐全 有钥匙看房方便,门头沟-永定 石园南路,石门营新区(六区),2室1厅,63平米,高层(共14层),3300,整租,南北,有,S1线
芍药居地铁1013号线 朝南主卧带阳台 舒适大方 随时看房,朝阳-芍药居 北四环东路,芍药居北里小区,3室1厅,15平米,低层(共15层),2900,合租,朝南,有,5/10/13号线
酒仙桥梵谷水郡2室1厅,朝阳-酒仙桥 驼房营南路2号,梵谷水郡,2室1厅,92平米,中层(共25层),8000,整租,西南,无,无
我爱我家相寓 西坝河太阳星城土星园高楼层3居室次卧1,朝阳-太阳宫 太阳宫南街,圣馨家园,3室1厅,18平米,高层(共13层),3400,合租,朝南,无,10/13号线
远洋二期 距上岸站200米 可公司 自住,门头沟-永定 西长安街,远洋新天地,2室1厅,80平米,中层(共10层),4200,整租,朝南,有,S1线
好房推荐 精美一居室 随时看房 楼下就是公交超市 拎包住,门头沟-城子街道 七棵树东大街,九龙东苑3号地,1室1厅,50平米,高层(共28层),2600,整租,朝南,有,无
中关村 国际公寓 一室一厅带衣帽间 业主婚房装修 看房基本随,海淀-苏州街 海淀中街15号,远中悦莱,1室1厅,59平米,低层(共19层),9200,整租,朝西,无,10/16号线/西郊线/4号线大兴线
整租丰益桥前泥洼二区1室,丰台-丰益桥 丰管路,前泥洼社区(前泥洼二区),1室1厅,40平米,高层(共6层),4800,整租,朝南,无,9/10/14号线
1号线传媒大学 定福庄西街水电二局 超大主卧阳台 随时入住,朝阳-定福庄 定福庄西街,定福庄西街小区,3室1厅,30平米,高层(共18层),2500,合租,朝南,有,八通线
西城区德胜门，什刹海，一进四合院带跨院。双车位有车库。拎包用,西城-什刹海 弘善胡同,弘善胡同小区,15室4厅,501平米,共1层,230000,整租,南北,无,2/6/8号线/4号线大兴线
西局玉园 一居室 10.14号线地铁 丽泽天地 金唐 玉璞园,丰台-丽泽桥 西局南街138号,西局玉园(南区),1室1厅,55平米,低层(共27层),5500,整租,朝南,有,9/10/14号线
实拍 清崋东门 八家嘉园 逸成东苑三居室 租期灵活 长租优惠,海淀-学院路 月泉路9号,逸成东苑,3室1厅,89平米,中层(共20层),9000,整租,南北,有,15号线
望京酒仙桥来广营康营家园精装修正规主卧带卫生间随时看房,朝阳-孙河 康营家园中街,康营家园(25期),3室1厅,15平米,高层(共11层),2700,合租,朝南,有,15号线
免佣金可月付 右安门 西铁营 丽泽商务区 出租千元单间,丰台-右安门 开阳里二街,开阳里一区,3室1厅,8平米,中层(共6层),1500,合租,朝东,无,14号线/4号线大兴线
隆兴园三居两卫边户自住装修出租 南北通透随时看房 免费停车,大兴-庞各庄 幸福路,隆兴园一里,3室2厅,120平米,高层(共15层),4100,整租,南北,有,无
年前特价房 东南向三居 全套家具 免费停车 24H管家服务,通州-新华大街 滨河中路,合景中心,3室2厅,112平米,高层(共32层),9000,整租,东南,有,6号线
紫竹桥 玫瑰御园南北精装三居室餐客厅分离 阳台飘窗采光好舒适,海淀-紫竹桥 蓝靛厂南路,玫瑰御园,3室2厅,177.6平米,低层(共8层),21000,整租,南北,有,6/10号线
16号线地铁西北旺站，中海枫涟山庄南向大间，中关村软件园,海淀-西北旺 永丰路,中海枫涟山庄,4室2厅,21平米,高层(共7层),3280,合租,朝南,有,16号线
年前特价出租 高层精装投影开间 视野很好 下楼地铁 全套家具,通州-北关 新华北路,世界侨商中心,1室0厅,43平米,高层(共27层),3800,整租,朝北,有,6号线
全南向一居 家具家电齐全 拎包可住 随时起租,丰台-丰台体育馆 西四环南路53号,丰台路口东里,1室1厅,57.1平米,中层(共6层),3700,整租,朝南,无,9/14号线
4，10号双线角门西地铁 两家合住 精装主卧阳台 随时入住,丰台-角门 角门北路,嘉园二里,2室1厅,20平米,高层(共6层),2500,合租,朝南,无,10/19号线/4号线大兴线
我爱我家相寓 五道口西王庄小区中楼层2居室主卧,海淀-五道口 清华东路,西王庄小区,2室1厅,25平米,中层(共6层),3700,合租,朝南,无,13/15号线
北苑路北站 佳兴园 北卫新园小区 精装修主卧带阳台 独立卫浴,朝阳-北苑 北苑路,佳兴园,3室2厅,40平米,低层(共20层),4000,合租,朝南,有,5号线
海淀 中航 北航 京东 字节 头条 房补范围之内 交通方便,海淀-双榆树 北三环西路,双榆树东里,2室1厅,55平米,高层(共6层),7500,整租,南北,无,10号线/4号线大兴线
东二环朝阳门外昆泰国际公寓全南一居室落地窗集中供暖看房随时,朝阳-朝外大街 朝阳门外大街乙12号,昆泰国际公寓,1室2厅,104.9平米,中层(共28层),15000,整租,朝南,有,2/6/10号线
免佣金！！望京酒仙桥798大山子360蟹岛京旺家园两居室次卧,朝阳-朝阳周边 金港南路,京旺家园六区,2室1厅,18平米,低层(共9层),1888,合租,朝南,有,无
带阳台！入住橡树湾高性价比开间！有密码，随时看！租金能谈！,海淀-清河 学府树北街,橡树湾(一期),1室1厅,43平米,中层(共26层),6200,整租,朝南,有,13号线
1号线八里桥 南向主卧电梯高层 竹木厂小区 随时看房西马庄园,通州-八里桥 通燕高速,竹木厂小区,3室1厅,20平米,高层(共12层),1900,合租,朝南,有,八通线
10号线双井 东向正规一居室 富力城a 看房方便 随时起租,朝阳-双井 东三环路55号,富力城(A区),1室1厅,58.2平米,高层(共32层),10500,整租,朝东,有,7/10/14号线
海淀南路小区精装修房 家电齐全，随时入住，2室！,海淀-苏州街 海淀南路1-17号,海淀南路小区,2室1厅,48平米,低层(共16层),7500,整租,西北,无,10号线/西郊线/4号线大兴线
合生世界花园 复式一居室 家具家电齐全 随时入住,通州-马驹桥 景盛北一街甲12号,合生世界花园,1室1厅,58平米,低层(共12层),3300,整租,朝北,有,无
临地铁车道沟！装修保养好！条件可议！西三环半！居家自住装修！,海淀-四季青 蓝靛厂南路,观澜国际花园,2室1厅,87平米,中层(共17层),12500,整租,东北,有,6/10号线
义和庄地铁口 可月付 万科精装修一居 包物业取暖 免费停车,大兴-兴华大街 新源大街27号,万科天地(一期),1室1厅,80平米,高层(共6层),3400,整租,朝南,有,4号线大兴线
国贸双井大望路 百子湾沿海赛洛城高层朝南精装修开间 拎包就住,朝阳-百子湾 广渠东路33号,沿海赛洛城(南区),1室1厅,49平米,高层(共14层),5500,整租,朝南,有,7号线
十里堡 盒马生鲜 1号线四惠地铁 3室2厅  东恒时代三期,朝阳-四惠 十里堡甲3号,东恒时代三期,3室2厅,134平米,中层(共27层),13000,整租,东南,有,1号线/八通线
三家合租主卧带阳台独卫独立卫浴 真实图片蒲黄榆地铁可月付短签,丰台-蒲黄榆 景泰路,蒲黄榆三里,3室1厅,34.7平米,高层(共6层),2900,合租,朝南,无,5/14号线
南店新村 精装修主卧 随时入住 回龙观地铁13号线育新8号线,昌平-回龙观 建材城西路,南店新村,3室1厅,20平米,共4层,2000,合租,朝南,无,13号线
北工大 潘家园 松榆里社区温馨干净次卧室带阳台出租,朝阳-松榆里 松榆北路,松榆里社区,3室1厅,17平米,低层(共19层),2400,合租,朝南,有,10/14号线
七里庄 西局站 307 精装两居室 集中供暖 交通方便 齐全,丰台-七里庄 东大街6号,东大街6号院,2室1厅,75平米,高层(共19层),6300,整租,朝南,有,9/10/14号线
（价格私聊有惊喜 急租）高品质小区  观景视野 精装修 电梯,朝阳-花家地 望京西路50号,鹿港嘉苑,1室1厅,52平米,中层(共27层),7500,整租,西北,有,10/14号线
丽泽商务区丽新嘉园金泰城丽湾蓝调国际南向一居看房方便14号线,丰台-菜户营 菜户营西街,丽新嘉园东区,1室1厅,65平米,中层(共28层),5800,整租,朝南,有,14号线
宋庄邻村，400平米二进院 正房三室一大客厅，门口停车方便。,通州-宋庄 辛瞳路,宋庄镇辛店村住房,4室1厅,400平米,共1层,5500,整租,朝南,无,无
御园A区全齐两居室出租 南北通透随时入住有钥匙 小区免费停车,大兴-庞各庄 幸福路8号,御园A区,2室1厅,84.8平米,低层(共15层),2500,整租,南北,有,无
将台地铁恒通商务园酒仙桥中路3号院 兆维 360星科798,朝阳-酒仙桥 酒仙桥中路3号,酒仙桥中路3号院,3室1厅,12平米,中层(共6层),1760,合租,朝南,无,14号线
宋家庄地铁旁，首开福茂，鲁能美高梅，精装南向一居室可月租,丰台-刘家窑 榴乡路,鲁能钓鱼台美高梅公馆,1室1厅,52平米,高层(共18层),6800,整租,南北,有,5/10号线/亦庄线
C21保真 东坝福润四季新上一层南北通透精装两居 包物业取暖,朝阳-东坝 管庄路(旧:和敬路4号院),北京城建福润四季A区,2室1厅,74.5平米,低层(共21层),5000,整租,南北,有,无
有钥匙随时看 随时入住 家具家电齐全  两居室,昌平-北七家 天权路2号,金色漫香苑,2室1厅,88平米,低层(共8层),4700,整租,南北,有,无
